State,TotalPop,Men,Women,White Men,White Women,White People,Black Men,Black Women,Black People,Asian Men,Asian Women,Asian People,Hispanic Men,Hispanic Women,Hispanic People,Native Men,Native Women,Native People,Pacific Men,Pacific Women,Pacific People
Alabama,4830620.0,2341093.0,2489527.0,1557852.29,1646836.17,3204688.47,610495.18,660094.24,1270589.42,28672.63,30682.08,59354.7,94044.19,99147.37,193191.56,10776.28,11259.34,22035.63,533.34,561.98,1095.32
Alaska,733375.0,384160.0,349215.0,238908.88,218543.98,457452.87,12298.17,11328.7,23626.88,22258.17,20079.22,42337.39,25005.64,22866.38,47872.02,52418.33,45973.82,98392.14,4538.38,4110.55,8648.93
Arizona,6641928.0,3299088.0,3342840.0,1863274.97,1888660.7,3751935.67,130549.21,132470.83,263020.04,95991.35,97817.63,193808.98,1001193.24,1013869.63,2015062.86,132481.74,133361.77,265843.51,5776.63,5815.24,11591.87
Arkansas,2958208.0,1451913.0,1506295.0,1069651.88,1107480.47,2177132.34,222703.55,233937.69,456641.25,19610.39,20385.56,39995.95,100036.36,103216.16,203252.52,8163.29,8404.28,16567.56,3300.73,3333.98,6634.71
California,38421464.0,19087135.0,19334329.0,7395618.91,7483106.65,14878725.56,1069455.17,1088506.18,2157961.36,2576002.78,2616708.65,5192711.43,7328096.07,7418435.96,14746532.03,72333.54,72370.45,144703.99,66063.83,67207.03,133270.87
Colorado,5278906.0,2648667.0,2630239.0,1830344.58,1815554.48,3645899.06,101511.84,101402.33,202914.17,75311.03,75545.95,150856.99,557975.55,554600.08,1112575.63,14566.1,14324.6,28890.71,3068.89,3031.79,6100.68
Connecticut,3593222.0,1751607.0,1841615.0,1213964.66,1273606.29,2487570.94,168513.48,178514.01,347027.48,72710.4,76586.1,149296.5,256344.37,270912.4,527256.77,2026.97,2116.39,4143.36,0.0,0.0,0.0
Delaware,926454.0,448413.0,478041.0,286455.2,305270.44,591725.64,94374.45,100711.85,195086.3,16120.39,17201.77,33322.16,39047.66,41609.36,80657.02,1324.47,1413.77,2738.25,0.0,0.0,0.0
District of Columbia,647484.0,306674.0,340810.0,109175.94,121328.36,230504.3,147203.52,163588.8,310792.32,11040.26,12269.16,23309.42,31280.75,34762.62,66043.37,613.35,681.62,1294.97,0.0,0.0,0.0
Florida,19645772.0,9600009.0,10045763.0,5388349.46,5624982.55,11013332.01,1481588.64,1552237.04,3033825.68,243411.38,256332.77,499744.14,2272936.66,2389198.17,4662134.84,20350.94,20968.43,41319.37,3785.81,3929.13,7714.93
Georgia,10006693.0,4883331.0,5123362.0,2672130.87,2788262.76,5460393.62,1482786.04,1571488.53,3054274.57,174365.98,184015.59,358381.57,447186.81,467369.5,914556.31,9188.53,9563.74,18752.27,1180.17,1221.23,2401.4
Hawaii,1406299.0,709871.0,696428.0,162594.49,159816.61,322411.1,13723.42,13413.24,27136.67,261082.7,255697.11,516779.81,69931.68,68668.26,138599.93,936.68,922.19,1858.87,64441.35,63267.19,127708.54
Idaho,1616547.0,810464.0,806083.0,673088.58,669362.06,1342450.64,4679.44,4655.46,9334.91,10408.83,10377.11,20785.94,95925.28,95458.66,191383.94,8756.34,8712.05,17468.39,954.93,953.03,1907.96
Illinois,12873761.0,6316899.0,6556862.0,3957932.27,4085205.13,8043137.39,887458.37,933746.58,1821204.95,312918.68,327339.48,640258.16,1036816.9,1083975.42,2120792.33,7180.76,7452.54,14633.3,145.55,143.22,288.77
Indiana,6568645.0,3235263.0,3333382.0,2609874.34,2678612.77,5288487.12,288971.33,305146.06,594117.39,59414.5,61379.45,120793.94,206223.31,214859.93,421083.24,5953.8,6119.82,12073.61,609.88,627.6,1237.48
Iowa,3093526.0,1534595.0,1558931.0,1341407.5,1362417.93,2703825.43,47198.12,48365.93,95564.05,31169.63,31500.13,62669.76,83348.01,84627.45,167975.46,4205.44,4278.2,8483.64,862.07,875.86,1737.93
Kansas,2892987.0,1439862.0,1453125.0,1109040.31,1119829.36,2228869.67,81506.47,82271.8,163778.27,37066.65,37557.73,74624.38,161248.11,162001.7,323249.8,10190.54,10285.12,20475.65,533.54,510.23,1043.76
Kentucky,4397353.0,2164208.0,2233145.0,1852700.88,1909283.46,3761984.34,167510.31,174717.66,342227.97,26793.36,27945.83,54739.18,70738.02,73177.86,143915.88,3560.83,3656.31,7217.14,839.46,850.01,1689.47
Louisiana,4625253.0,2261156.0,2364097.0,1347709.07,1403108.88,2750817.96,718139.71,756282.62,1474422.33,37484.77,39847.16,77331.92,106841.92,111981.76,218823.68,12319.59,12621.58,24941.17,547.86,548.9,1096.75
Maine,1329100.0,650081.0,679019.0,610242.31,637344.71,1247587.03,7114.03,7471.15,14585.18,7139.23,7489.0,14628.23,9516.76,9962.05,19478.82,3691.04,3824.0,7515.03,14.94,15.46,30.4
Maryland,5930538.0,2872643.0,3057895.0,1531376.24,1613338.77,3144715.01,827947.42,895743.84,1723691.26,171149.82,183187.6,354337.42,257739.24,275837.42,533576.67,5432.32,5807.26,11239.58,548.7,563.58,1112.27
Massachusetts,6705586.0,3249650.0,3455936.0,2414225.15,2567171.82,4981396.97,210361.12,223875.55,434236.67,193795.82,205995.01,399790.82,342552.49,364624.18,707176.66,4205.97,4470.22,8676.19,267.65,285.11,552.76
Michigan,9900571.0,4861973.0,5038598.0,3698860.55,3813984.91,7512845.46,662504.08,703776.77,1366280.85,131134.53,137841.7,268976.23,228186.86,237438.44,465625.3,23982.1,23777.11,47759.22,293.23,289.28,582.51
Minnesota,5419171.0,2692166.0,2727005.0,2202379.2,2225352.84,4427732.04,144902.68,149154.85,294057.54,117760.87,121508.16,239269.03,133848.86,136520.87,270369.73,25923.67,25851.71,51775.38,282.07,282.15,564.22
Mississippi,2988081.0,1451723.0,1536358.0,834957.28,879497.74,1714455.02,537961.87,574591.78,1112553.65,13963.42,14692.03,28655.45,42533.23,44084.03,86617.26,5840.73,6179.74,12020.47,92.31,95.04,187.36
Missouri,6045448.0,2964003.0,3081445.0,2383385.4,2466973.46,4850358.86,334293.4,357434.47,691727.87,51331.97,54538.12,105870.09,114467.86,118983.49,233451.35,11137.2,11379.74,22516.94,2530.91,2553.88,5084.78
Montana,1014699.0,510163.0,504536.0,444144.4,438490.6,882635.0,2299.79,2276.12,4575.91,3442.58,3377.2,6819.77,16882.99,16788.06,33671.06,31583.09,31878.13,63461.21,385.15,372.51,757.66
Nebraska,1869365.0,929606.0,939759.0,751184.54,758685.4,1509869.93,42347.7,43201.17,85548.87,18693.58,18944.59,37638.17,92509.58,93630.26,186139.85,6405.32,6550.0,12955.32,477.99,485.08,963.07
Nevada,2798636.0,1407735.0,1390901.0,732784.6,722281.55,1455066.15,113156.45,112428.99,225585.44,105677.6,105050.77,210728.37,386979.01,382985.11,769964.12,12348.57,11858.52,24207.1,8862.64,8785.1,17647.74
New Hampshire,1324201.0,653484.0,670717.0,597379.09,613229.08,1210608.16,7757.72,7932.84,15690.57,15316.48,15713.69,31030.17,20959.49,21444.01,42403.49,1062.17,1088.12,2150.28,44.02,45.32,89.34
New Jersey,8904413.0,4343027.0,4561386.0,2483098.83,2610684.29,5093783.12,550859.62,580911.1,1131770.72,391444.71,409558.39,801003.11,825078.03,863108.35,1688186.38,4141.15,4308.22,8449.36,125.8,126.7,252.5
New Mexico,2084117.0,1032414.0,1051703.0,405583.88,411638.59,817222.48,18717.42,18937.12,37654.55,13369.27,13712.4,27081.66,488823.61,498087.32,986910.93,87011.04,90007.22,177018.26,496.52,507.47,1003.99
New York,19673174.0,9541801.0,10131373.0,5454513.19,5714556.31,11169069.49,1358186.76,1472971.73,2831158.49,750404.93,807996.42,1558401.35,1737521.06,1880115.3,3617636.36,21682.83,22442.28,44125.11,493.63,495.03,988.67
North Carolina,9845333.0,4795408.0,5049925.0,3085173.04,3239061.3,6324234.34,1011274.88,1073690.96,2084965.84,117560.18,124877.4,242437.57,423516.92,446096.3,869613.22,52776.66,55684.69,108461.35,2096.17,2175.48,4271.65
North Dakota,721640.0,367963.0,353677.0,320279.48,307862.9,628142.38,5946.04,5708.88,11654.92,4449.71,4295.45,8745.16,10547.75,9984.52,20532.28,19106.29,18516.9,37623.19,133.79,125.13,258.92
Ohio,11575977.0,5662893.0,5913084.0,4554266.29,4736794.68,9291060.98,674153.66,719639.82,1393793.48,104846.3,110630.97,215477.27,190357.51,200231.46,390588.97,8306.63,8688.73,16995.36,490.11,503.11,993.22
Oklahoma,3849733.0,1906944.0,1942789.0,1284153.44,1307003.82,2591157.26,135237.86,138734.31,273972.17,36044.62,36948.11,72992.73,184218.22,187876.46,372094.68,132376.27,134790.86,267167.13,2451.24,2475.87,4927.12
Oregon,3939233.0,1948453.0,1990780.0,1504415.51,1538580.43,3042995.94,34261.2,35050.91,69312.11,76370.56,78307.05,154677.6,241368.61,244868.46,486237.07,18075.67,18300.45,36376.12,7102.06,7268.26,14370.32
Pennsylvania,12779559.0,6245344.0,6534215.0,4892503.13,5086557.94,9979061.07,647393.17,700333.35,1347726.52,188530.99,200991.55,389522.54,396109.12,419131.54,815240.66,7404.21,7748.67,15152.88,171.49,174.87,346.36
Rhode Island,1053661.0,510388.0,543273.0,380492.34,404980.91,785473.25,27345.65,29106.01,56451.66,16292.47,17352.26,33644.73,69543.72,74055.82,143599.54,1872.04,1991.32,3863.36,305.25,325.21,630.46
South Carolina,4777576.0,2322409.0,2455167.0,1483761.14,1567328.63,3051089.77,632993.82,671157.63,1304151.45,32318.32,34158.67,66476.99,124014.35,130480.21,254494.56,6871.21,7184.75,14055.95,1246.53,1316.82,2563.36
South Dakota,843190.0,423477.0,419713.0,352903.74,348765.69,701669.43,6393.7,6329.28,12722.98,5114.89,5085.41,10200.3,14039.23,13892.18,27931.41,34628.86,35292.72,69921.58,149.54,145.96,295.49
Tennessee,6499615.0,3167756.0,3331859.0,2372795.98,2484094.02,4856890.0,523444.45,560885.29,1084329.74,49305.4,52428.8,101734.2,155658.46,164590.92,320249.38,6867.33,7172.21,14039.54,1172.92,1213.42,2386.34
Texas,26538614.0,13171316.0,13367298.0,5783913.43,5852394.01,11636307.44,1527958.61,1545870.67,3073829.28,548674.6,559768.05,1108442.65,5050123.34,5144714.22,10194837.56,33983.34,34321.01,68304.35,9704.21,9852.52,19556.72
Utah,2903379.0,1459229.0,1444150.0,1159944.53,1147681.05,2307625.58,14744.57,14605.07,29349.64,31595.42,31293.45,62888.87,195684.26,193815.92,389500.18,13594.16,13483.08,27077.23,12901.92,12785.69,25687.61
Vermont,626604.0,308573.0,318031.0,288873.07,297663.05,586536.12,3291.67,3415.86,6707.53,4246.45,4410.34,8656.79,5265.82,5435.17,10700.98,964.13,987.99,1952.12,67.45,69.5,136.95
Virginia,8256630.0,4060948.0,4195682.0,2576742.33,2661152.33,5237894.66,765505.19,795464.96,1560970.14,241049.4,247858.97,488908.37,349913.63,359463.14,709376.77,8242.84,8450.22,16693.06,2770.92,2808.61,5579.53
