id,State,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Citizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment,Region,White Men,White Women,White People,Black Men,Black Women,Black People,Asian Men,Asian Women,Asian People,Hispanic Men,Hispanic Women,Hispanic People,Native Men,Native Women,Native People,Pacific Men,Pacific Women,Pacific People,WhiteMen,WhiteWomen,WhitePeople,BlackMen,BlackWomen,BlackPeople,AsianMen,AsianWomen,AsianPeople,HispanicMen,HispanicWomen,HispanicPeople,NativeMen,NativeWomen,NativePeople,PacificMen,PacificWomen,PacificPeople
1001,Alabama,Autauga,55221,26745,28476,2.6,75.8,18.5,0.4,1.0,0.0,40725,51281.0,2391.0,24974,1080,12.9,18.6,33.2,17.0,24.2,8.6,17.1,87.5,8.8,0.1,0.5,1.3,1.8,26.5,23986,73.6,20.9,5.5,0.0,7.6,SouthEast,20272.71,21584.808,41857.518,4947.825,5268.0599999999995,10215.884999999998,267.45,284.76,552.21,695.37,740.3760000000001,1435.746,106.98,113.904,220.88400000000001,0.0,0.0,0.0,20272.71,21584.808,41857.518,4947.825,5268.0599999999995,10215.884999999998,267.45,284.76,552.21,695.37,740.3760000000001,1435.746,106.98,113.904,220.88400000000001,0.0,0.0,0.0
1003,Alabama,Baldwin,195121,95314,99807,4.5,83.1,9.5,0.6,0.7,0.0,147695,50254.0,1263.0,27317,711,13.4,19.2,33.1,17.7,27.1,10.8,11.2,84.7,8.8,0.1,1.0,1.4,3.9,26.4,85953,81.5,12.3,5.8,0.4,7.5,SouthEast,79205.934,82939.617,162145.55099999998,9054.83,9481.665,18536.495000000003,667.198,698.6489999999999,1365.8469999999998,4289.13,4491.315,8780.445,571.884,598.842,1170.726,0.0,0.0,0.0,79205.934,82939.617,162145.55099999998,9054.83,9481.665,18536.495000000003,667.198,698.6489999999999,1365.8469999999998,4289.13,4491.315,8780.445,571.884,598.842,1170.726,0.0,0.0,0.0
1005,Alabama,Barbour,26932,14497,12435,4.6,46.2,46.7,0.2,0.4,0.0,20714,32964.0,2973.0,16824,798,26.7,45.3,26.8,16.1,23.1,10.8,23.1,83.8,10.9,0.4,1.8,1.5,1.6,24.1,8597,71.8,20.8,7.3,0.1,17.6,SouthEast,6697.6140000000005,5744.97,12442.584,6770.099,5807.145,12577.244,57.988,49.74,107.72800000000001,666.862,572.01,1238.8719999999998,28.994,24.87,53.864000000000004,0.0,0.0,0.0,6697.6140000000005,5744.97,12442.584,6770.099,5807.145,12577.244,57.988,49.74,107.72800000000001,666.862,572.01,1238.8719999999998,28.994,24.87,53.864000000000004,0.0,0.0,0.0
1007,Alabama,Bibb,22604,12073,10531,2.2,74.5,21.4,0.4,0.1,0.0,17495,38678.0,3995.0,18431,1618,16.8,27.9,21.5,17.9,17.8,19.0,23.7,83.2,13.5,0.5,0.6,1.5,0.7,28.8,8294,76.8,16.1,6.7,0.4,8.3,SouthEast,8994.385,7845.595,16839.98,2583.622,2253.634,4837.255999999999,12.073,10.531,22.604,265.60600000000005,231.68200000000002,497.28800000000007,48.292,42.124,90.416,0.0,0.0,0.0,8994.385,7845.595,16839.98,2583.622,2253.634,4837.255999999999,12.073,10.531,22.604,265.60600000000005,231.68200000000002,497.28800000000007,48.292,42.124,90.416,0.0,0.0,0.0
1009,Alabama,Blount,57710,28512,29198,8.6,87.9,1.5,0.3,0.1,0.0,42345,45813.0,3141.0,20532,708,16.7,27.2,28.5,14.1,23.9,13.5,19.9,84.9,11.2,0.4,0.9,0.4,2.3,34.9,22189,82.0,13.5,4.2,0.4,7.7,SouthEast,25062.048,25665.042,50727.09,427.68,437.96999999999997,865.65,28.512,29.198,57.71,2452.0319999999997,2511.028,4963.0599999999995,85.536,87.59400000000001,173.13,0.0,0.0,0.0,25062.048,25665.042,50727.09,427.68,437.96999999999997,865.65,28.512,29.198,57.71,2452.0319999999997,2511.028,4963.0599999999995,85.536,87.59400000000001,173.13,0.0,0.0,0.0
1011,Alabama,Bullock,10678,5660,5018,4.4,22.2,70.7,1.2,0.2,0.0,8057,31938.0,5884.0,17580,2055,24.6,38.4,18.8,15.0,19.7,20.1,26.4,74.9,14.9,0.7,5.0,1.7,2.8,27.5,3865,79.5,15.1,5.4,0.0,18.0,SouthEast,1256.52,1113.996,2370.516,4001.6200000000003,3547.7260000000006,7549.346000000001,11.32,10.036,21.356,249.04000000000002,220.79200000000003,469.83200000000005,67.92,60.216,128.136,0.0,0.0,0.0,1256.52,1113.996,2370.516,4001.6200000000003,3547.7260000000006,7549.346000000001,11.32,10.036,21.356,249.04000000000002,220.79200000000003,469.83200000000005,67.92,60.216,128.136,0.0,0.0,0.0
1013,Alabama,Butler,20354,9502,10852,1.2,53.3,43.8,0.1,0.4,0.0,15581,32229.0,1793.0,18390,714,25.4,39.2,27.5,16.6,21.9,10.3,23.7,84.5,12.4,0.0,0.8,0.6,1.7,24.6,7813,77.4,16.2,6.2,0.2,10.9,SouthEast,5064.565999999999,5784.115999999999,10848.681999999997,4161.875999999999,4753.1759999999995,8915.052,38.008,43.408,81.416,114.024,130.224,244.248,9.502,10.852,20.354,0.0,0.0,0.0,5064.565999999999,5784.115999999999,10848.681999999997,4161.875999999999,4753.1759999999995,8915.052,38.008,43.408,81.416,114.024,130.224,244.248,9.502,10.852,20.354,0.0,0.0,0.0
1015,Alabama,Calhoun,116648,56274,60374,3.5,73.0,20.3,0.2,0.9,0.0,88612,41703.0,925.0,21374,489,20.5,31.6,27.3,17.7,24.2,10.5,20.4,85.3,9.4,0.2,1.2,1.2,2.7,24.1,47401,74.1,20.8,5.0,0.1,12.3,SouthEast,41080.02,44073.02,85153.04,11423.622000000001,12255.922,23679.544,506.46600000000007,543.3660000000001,1049.832,1969.5900000000001,2113.09,4082.6800000000003,112.548,120.748,233.296,0.0,0.0,0.0,41080.02,44073.02,85153.04,11423.622000000001,12255.922,23679.544,506.46600000000007,543.3660000000001,1049.832,1969.5900000000001,2113.09,4082.6800000000003,112.548,120.748,233.296,0.0,0.0,0.0
1017,Alabama,Chambers,34079,16258,17821,0.4,57.3,40.3,0.2,0.8,0.0,26462,34177.0,2949.0,21071,1366,21.6,37.2,23.3,14.5,26.3,11.5,24.4,85.1,11.9,0.2,0.3,0.4,2.1,25.1,13689,85.1,12.1,2.8,0.0,8.9,SouthEast,9315.833999999999,10211.432999999999,19527.267,6551.973999999999,7181.862999999999,13733.837,130.064,142.568,272.632,65.032,71.284,136.316,32.516,35.642,68.158,0.0,0.0,0.0,9315.833999999999,10211.432999999999,19527.267,6551.973999999999,7181.862999999999,13733.837,130.064,142.568,272.632,65.032,71.284,136.316,32.516,35.642,68.158,0.0,0.0,0.0
1019,Alabama,Cherokee,26008,12975,13033,1.5,91.7,4.8,0.6,0.3,0.0,20600,36296.0,1710.0,21811,1556,19.2,30.1,29.3,16.0,19.5,13.7,21.5,83.9,12.1,0.2,0.6,0.7,2.5,27.4,10155,73.1,18.5,7.9,0.5,7.9,SouthEast,11898.075,11951.261,23849.336000000003,622.8000000000001,625.5840000000001,1248.384,38.925000000000004,39.099000000000004,78.024,194.625,195.495,390.12,77.85000000000001,78.19800000000001,156.048,0.0,0.0,0.0,11898.075,11951.261,23849.336000000003,622.8000000000001,625.5840000000001,1248.384,38.925000000000004,39.099000000000004,78.024,194.625,195.495,390.12,77.85000000000001,78.19800000000001,156.048,0.0,0.0,0.0
