CensusId	TotalPop	State	County	Men	Women	White	Black	Native	Asian	Pacific	Employed	Unemployment	id
1001	55221	Alabama	Autauga	26745	28476	75.8	18.5	0.4	1.0	0.0	23986	7.6	1001
1003	195121	Alabama	Baldwin	95314	99807	83.1	9.5	0.6	0.7	0.0	85953	7.5	1003
1005	26932	Alabama	Barbour	14497	12435	46.2	46.7	0.2	0.4	0.0	8597	17.6	1005
1007	22604	Alabama	Bibb	12073	10531	74.5	21.4	0.4	0.1	0.0	8294	8.3	1007
1009	57710	Alabama	Blount	28512	29198	87.9	1.5	0.3	0.1	0.0	22189	7.7	1009
1011	10678	Alabama	Bullock	5660	5018	22.2	70.7	1.2	0.2	0.0	3865	18.0	1011
1013	20354	Alabama	Butler	9502	10852	53.3	43.8	0.1	0.4	0.0	7813	10.9	1013
1015	116648	Alabama	Calhoun	56274	60374	73.0	20.3	0.2	0.9	0.0	47401	12.3	1015
1017	34079	Alabama	Chambers	16258	17821	57.3	40.3	0.2	0.8	0.0	13689	8.9	1017
1019	26008	Alabama	Cherokee	12975	13033	91.7	4.8	0.6	0.3	0.0	10155	7.9	1019
1021	43819	Alabama	Chilton	21619	22200	80.5	10.2	0.4	0.3	0.0	17895	9.1	1021
1023	13395	Alabama	Choctaw	6382	7013	55.9	42.9	0.0	0.0	0.0	4405	13.6	1023
1025	25070	Alabama	Clarke	11834	13236	53.4	45.3	0.0	0.4	0.4	8161	19.4	1025
1027	13537	Alabama	Clay	6671	6866	79.9	14.4	0.7	0.0	0.0	5180	9.4	1027
1029	15002	Alabama	Cleburne	7334	7668	92.5	2.9	0.2	0.4	0.0	6065	8.3	1029
1031	50884	Alabama	Coffee	25174	25710	71.5	17.2	0.8	1.2	0.0	20912	7.1	1031
1033	54444	Alabama	Colbert	26303	28141	78.9	15.6	0.6	0.3	0.1	21290	9.0	1033
1035	12865	Alabama	Conecuh	6176	6689	51.0	44.7	0.3	0.0	0.0	3718	22.6	1035
1037	11027	Alabama	Coosa	5579	5448	65.2	30.7	0.1	0.0	0.0	3852	17.0	1037
1039	37886	Alabama	Covington	18339	19547	83.3	13.0	0.5	0.3	0.1	14202	11.2	1039
1041	13938	Alabama	Crenshaw	6863	7075	70.5	23.5	0.8	1.8	0.0	5620	9.7	1041
1043	80965	Alabama	Cullman	40081	40884	92.2	1.1	0.4	0.6	0.0	32282	7.3	1043
1045	49866	Alabama	Dale	24708	25158	69.8	19.4	0.5	1.2	0.0	18735	10.9	1045
1047	42154	Alabama	Dallas	19450	22704	28.6	69.2	0.2	0.3	0.0	14094	16.4	1047
1049	71068	Alabama	DeKalb	35474	35594	80.9	1.8	1.1	0.3	0.1	27778	7.7	1049
1051	80763	Alabama	Elmore	39362	41401	73.6	21.0	0.2	0.5	0.0	33636	8.3	1051
1053	37935	Alabama	Escambia	19524	18411	60.7	33.4	3.2	0.1	0.0	12294	15.6	1053
1055	103766	Alabama	Etowah	50207	53559	78.5	15.4	0.3	0.7	0.1	41236	9.0	1055
1057	16896	Alabama	Fayette	8477	8419	85.3	12.0	0.0	0.4	0.0	6122	10.0	1057
1059	31634	Alabama	Franklin	15311	16323	78.5	4.1	0.7	0.1	0.1	12249	9.8	1059
1061	26815	Alabama	Geneva	13174	13641	84.0	8.7	0.3	1.2	0.0	10419	11.2	1061
1063	8697	Alabama	Greene	4095	4602	17.8	80.6	0.1	0.2	0.0	2412	20.4	1063
1065	15256	Alabama	Hale	7183	8073	40.0	58.2	0.3	0.3	0.1	5282	13.3	1065
1067	17252	Alabama	Henry	8259	8993	68.3	28.4	0.0	0.0	0.0	6922	8.1	1067
