CensusId	State	County	TotalPop	Men	Women	White	Black	Native	Asian	Pacific	Employed	Unemployment
1001	Alabama	Autauga	55221	26745	28476	75.8	18.5	0.4	1.0	0.0	23986	7.6
1003	Alabama	Baldwin	195121	95314	99807	83.1	9.5	0.6	0.7	0.0	85953	7.5
1005	Alabama	Barbour	26932	14497	12435	46.2	46.7	0.2	0.4	0.0	8597	17.6
1007	Alabama	Bibb	22604	12073	10531	74.5	21.4	0.4	0.1	0.0	8294	8.3
1009	Alabama	Blount	57710	28512	29198	87.9	1.5	0.3	0.1	0.0	22189	7.7
1011	Alabama	Bullock	10678	5660	5018	22.2	70.7	1.2	0.2	0.0	3865	18.0
1013	Alabama	Butler	20354	9502	10852	53.3	43.8	0.1	0.4	0.0	7813	10.9
1015	Alabama	Calhoun	116648	56274	60374	73.0	20.3	0.2	0.9	0.0	47401	12.3
1017	Alabama	Chambers	34079	16258	17821	57.3	40.3	0.2	0.8	0.0	13689	8.9
1019	Alabama	Cherokee	26008	12975	13033	91.7	4.8	0.6	0.3	0.0	10155	7.9
1021	Alabama	Chilton	43819	21619	22200	80.5	10.2	0.4	0.3	0.0	17895	9.1
1023	Alabama	Choctaw	13395	6382	7013	55.9	42.9	0.0	0.0	0.0	4405	13.6
1025	Alabama	Clarke	25070	11834	13236	53.4	45.3	0.0	0.4	0.4	8161	19.4
1027	Alabama	Clay	13537	6671	6866	79.9	14.4	0.7	0.0	0.0	5180	9.4
1029	Alabama	Cleburne	15002	7334	7668	92.5	2.9	0.2	0.4	0.0	6065	8.3
1031	Alabama	Coffee	50884	25174	25710	71.5	17.2	0.8	1.2	0.0	20912	7.1
1033	Alabama	Colbert	54444	26303	28141	78.9	15.6	0.6	0.3	0.1	21290	9.0
1035	Alabama	Conecuh	12865	6176	6689	51.0	44.7	0.3	0.0	0.0	3718	22.6
1037	Alabama	Coosa	11027	5579	5448	65.2	30.7	0.1	0.0	0.0	3852	17.0
1039	Alabama	Covington	37886	18339	19547	83.3	13.0	0.5	0.3	0.1	14202	11.2
1041	Alabama	Crenshaw	13938	6863	7075	70.5	23.5	0.8	1.8	0.0	5620	9.7
1043	Alabama	Cullman	80965	40081	40884	92.2	1.1	0.4	0.6	0.0	32282	7.3
1045	Alabama	Dale	49866	24708	25158	69.8	19.4	0.5	1.2	0.0	18735	10.9
1047	Alabama	Dallas	42154	19450	22704	28.6	69.2	0.2	0.3	0.0	14094	16.4
1049	Alabama	DeKalb	71068	35474	35594	80.9	1.8	1.1	0.3	0.1	27778	7.7
1051	Alabama	Elmore	80763	39362	41401	73.6	21.0	0.2	0.5	0.0	33636	8.3
