id	rate	bna
1001	55221	26745
1003	195121	95314
1005	26932	14497
1007	22604	12073
1009	57710	28512
1011	10678	5660
1013	20354	9502
1015	116648	56274
1017	34079	16258
1019	26008	12975
1021	43819	21619
1023	13395	6382
1025	25070	11834
1027	13537	6671
1029	15002	7334
1031	50884	25174
1033	54444	26303
1035	12865	6176
1037	11027	5579
1039	37886	18339
1041	13938	6863
1043	80965	40081
1045	49866	24708
1047	42154	19450
1049	71068	35474
1051	80763	39362
1053	37935	19524
1055	103766	50207
1057	16896	8477
1059	31634	15311
1061	26815	13174
1063	8697	4095
1065	15256	7183
1067	17252	8259
1069	103534	49563
1071	52860	26076
1073	659026	311581
1075	14133	6832
1077	92737	44419
1079	33586	16421
1081	150982	74277
1083	88805	44626
1085	10742	5125
1087	20018	9166
1089	346438	169422
1091	20306	9452
1093	30387	15004
1095	94318	46409
1097	414251	198216
1099	22217	10639
1101	228138	108296
1103	119786	58814
1105	10038	4651
1107	19856	9657
1109	33155	15818
1111	22648	11090
1113	58302	28347
1115	85864	43141
1117	203530	99134
1119	13341	5905
1121	81437	39494
1123	41153	19593
1125	200458	96781
1127	65923	32013
1129	16997	8490
1131	11235	5376
1133	24130	11876
2013	3304	2198
2016	5684	3393
2020	299107	153122
2050	17776	9351
2060	970	553
2068	2060	1126
2070	4979	2589
2090	99705	53477
2100	2560	1387
2105	2128	1129
2110	32531	16645
2122	57221	29974
2130	13699	7038
2150	13973	7468
2158	7914	4200
2164	1474	731
2170	96178	50205
2180	9854	5272
2185	9667	6172
2188	7732	4165
2195	3221	1708
2198	6376	3468
2220	8943	4584
2230	999	527
2240	7029	3909
2261	9617	5137
2275	2387	1227
2282	643	367
2290	5644	3038
4001	72124	35663
4003	129647	66100
4005	136701	67553
4007	53165	26436
4009	37407	20049
4011	9023	4748
4012	20335	10378
4013	4018143	1986158
4015	203362	102371
4017	107656	53984
4019	998537	491108
4021	389772	202502
4023	47073	22566
4025	215996	105693
4027	202987	103779
5001	18731	8936
5003	21229	10185
5005	41040	19811
5007	238198	117781
5009	37227	18138
5011	11206	5534
5013	5245	2692
5015	27635	13535
5017	11353	5577
5019	22751	10786
5021	15400	7588
5023	25711	12842
5025	8510	4234
5027	24327	11569
5029	21110	10346
5031	101409	49362
5033	61748	30269
5035	49765	23482
5037	17467	8384
5039	7868	3877
5041	12379	5741
5043	18740	9215
5045	119343	58488
5047	17866	8797
5049	12224	6055
5051	96954	46921
5053	18054	8875
5055	43382	21477
5057	22336	10787
5059	33316	17089
5061	13555	6596
5063	36952	18064
5065	13480	6997
5067	17597	8737
5069	73548	36165
5071	25930	12834
5073	7270	3534
5075	17029	8303
5077	9966	5561
5079	14062	8596
5081	12720	6384
5083	22001	11022
5085	70691	34831
5087	15702	7865
5089	16458	8172
5091	43652	21540
5093	44864	21815
5095	7713	3642
5097	9197	4547
5099	8793	4367
5101	8052	4035
5103	25044	11790
5105	10300	5133
5107	20391	9529
5109	11087	5420
5111	24210	11819
5113	20364	9929
5115	62830	31083
5117	8402	4137
5119	390463	187292
5121	17695	8678
5123	27345	14996
